FECHA_HECHO,delitos_count
2018-09-22,1
2018-10-02,1
2018-10-05,1
2018-10-11,1
2018-10-16,1
2018-10-17,1
2018-10-19,1
2018-11-04,1
2018-11-10,1
2018-11-25,1
2018-11-26,1
2018-11-29,1
2018-12-02,1
2018-12-05,1
2018-12-07,1
2018-12-10,1
2018-12-20,2
2018-12-24,1
2018-12-29,2
2019-01-01,1
2019-01-04,1
2019-01-05,2
2019-01-09,1
2019-01-10,1
2019-01-21,1
2019-01-23,1
2019-02-07,1
2019-02-09,1
2019-02-20,1
2019-02-28,2
2019-03-06,1
2019-03-14,1
2019-03-16,1
2019-03-29,1
2019-04-03,1
2019-04-06,1
2019-04-07,1
2019-04-08,1
2019-04-12,1
2019-04-23,4
2019-04-24,1
2019-04-27,1
2019-05-01,1
2019-05-06,1
2019-05-07,1
2019-05-11,3
2019-05-18,2
2019-05-22,1
2019-06-05,1
2019-06-06,1
2019-06-08,2
2019-06-09,1
2019-06-18,2
2019-06-20,1
2019-06-23,1
2019-06-25,1
2019-06-26,1
2019-06-29,1
2019-07-03,2
2019-07-04,1
2019-07-05,2
2019-07-07,1
2019-07-12,1
2019-07-15,1
2019-07-17,1
2019-07-18,1
2019-07-19,2
2019-07-20,1
2019-07-21,1
2019-07-22,1
2019-07-25,1
2019-07-27,1
2019-07-29,2
2019-07-30,1
2019-08-02,1
2019-08-05,2
2019-08-06,1
2019-08-09,1
2019-08-11,2
2019-08-17,1
2019-08-18,1
2019-08-22,1
2019-08-23,1
2019-08-25,1
2019-08-26,1
2019-08-28,2
2019-08-30,1
2019-09-07,1
2019-09-11,1
2019-09-14,1
2019-09-16,1
2019-09-21,1
2019-09-25,1
2019-09-26,1
2019-09-30,1
2019-10-07,1
2019-10-09,1
2019-10-12,1
2019-10-17,1
2019-10-21,2
2019-10-26,1
2019-10-29,1
2019-10-30,1
2019-11-02,1
2019-11-07,1
2019-11-16,1
2019-11-18,1
2019-11-19,1
2019-11-24,2
2019-11-26,1
2019-12-02,1
2019-12-04,1
2019-12-06,1
2019-12-08,1
2019-12-10,1
2019-12-11,2
2019-12-19,1
2019-12-20,2
2019-12-21,2
2019-12-23,1
2019-12-27,1
2020-01-01,2
2020-01-02,1
2020-01-16,1
2020-01-22,1
2020-01-24,1
2020-01-29,1
2020-02-01,1
2020-02-02,1
2020-02-07,1
2020-02-13,1
2020-02-16,1
2020-02-18,1
2020-02-25,1
2020-02-27,1
2020-03-02,1
2020-03-07,2
2020-03-08,1
2020-03-12,1
2020-03-19,1
2020-03-29,1
2020-03-31,1
2020-04-01,3
2020-04-11,2
2020-04-13,1
2020-04-17,1
2020-04-21,1
2020-04-24,1
2020-05-06,1
2020-05-12,1
2020-05-13,1
2020-05-21,1
2020-06-06,1
2020-06-07,2
2020-06-08,1
2020-06-09,1
2020-06-24,1
2020-06-29,1
2020-07-01,4
2020-07-05,1
2020-07-11,1
2020-07-14,1
2020-07-17,1
2020-07-21,1
2020-07-23,1
2020-07-25,1
2020-07-27,2
2020-07-28,1
2020-07-29,1
2020-08-18,2
2020-08-19,1
2020-08-20,1
2020-08-21,1
2020-08-22,1
2020-08-28,1
2020-09-01,2
2020-09-03,2
2020-09-05,1
2020-09-07,1
2020-09-08,1
2020-09-09,1
2020-09-14,1
2020-09-18,1
2020-09-25,1
2020-10-01,2
2020-10-03,1
2020-10-08,2
2020-10-09,1
2020-10-14,1
2020-10-20,1
2020-10-25,1
2020-10-26,1
2020-11-02,1
2020-11-07,1
2020-11-10,1
2020-11-18,1
2020-11-23,1
2020-12-02,1
2020-12-03,1
2020-12-05,1
2020-12-08,1
2020-12-14,1
2020-12-16,1
2020-12-21,3
2020-12-30,1
2021-01-10,1
2021-01-21,1
2021-01-22,1
2021-01-25,1
2021-01-29,2
2021-01-30,4
2021-02-03,1
2021-02-08,1
2021-02-09,1
2021-02-17,1
2021-02-24,1
2021-02-25,2
2021-02-27,1
2021-03-02,1
2021-03-12,1
2021-03-13,2
2021-03-23,1
2021-03-25,3
2021-03-26,1
2021-03-27,2
2021-03-28,1
2021-03-29,1
2021-04-01,1
2021-04-03,1
2021-04-06,2
2021-04-11,1
2021-04-14,1
2021-04-20,1
2021-04-24,5
2021-04-27,2
2021-04-28,1
2021-05-01,1
2021-05-02,3
2021-05-03,2
2021-05-07,1
2021-05-21,1
2021-05-24,1
2021-05-25,1
2021-05-26,1
2021-05-27,1
2021-05-28,1
2021-05-30,2
2021-06-01,1
2021-06-02,1
2021-06-04,1
2021-06-09,2
2021-06-11,1
2021-06-13,1
2021-06-19,1
2021-07-04,1
2021-07-06,3
2021-07-10,1
2021-07-11,1
2021-07-12,1
2021-07-17,1
2021-07-19,1
2021-07-21,1
2021-07-22,1
2021-07-23,1
2021-07-28,3
2021-07-29,1
2021-07-31,1
2021-08-06,1
2021-08-10,1
2021-08-12,1
2021-08-17,1
2021-08-19,1
2021-08-20,2
2021-08-24,1
2021-08-27,1
2021-08-31,1
2021-09-02,1
2021-09-10,1
2021-09-15,1
2021-09-16,1
2021-09-18,1
2021-09-28,1
2021-10-13,1
2021-10-15,1
2021-10-17,1
2021-10-19,2
2021-10-22,1
2021-10-25,2
2021-10-27,1
2021-10-31,1
2021-11-05,1
2021-11-06,1
2021-11-09,2
2021-11-11,2
2021-11-16,2
2021-11-17,1
2021-11-22,1
2021-11-24,1
2021-11-28,1
2021-12-10,2
2021-12-14,1
2021-12-27,1
2021-12-29,1
2022-01-05,1
2022-01-10,1
2022-01-13,1
2022-01-17,2
2022-01-19,1
2022-01-23,1
2022-01-25,1
2022-01-27,1
2022-01-29,1
2022-01-30,1
2022-02-05,1
2022-02-08,1
2022-02-09,2
2022-02-10,2
2022-02-21,1
2022-03-03,1
2022-03-04,1
2022-03-05,1
2022-03-10,1
2022-03-19,1
2022-03-22,1
2022-03-24,1
2022-03-26,1
2022-03-28,1
2022-04-01,3
2022-04-04,1
2022-04-05,2
2022-04-09,2
2022-04-10,2
2022-04-20,2
2022-04-23,1
2022-04-27,1
2022-05-01,1
2022-05-03,1
2022-05-04,1
2022-05-09,1
2022-05-23,1
2022-05-24,2
2022-05-25,2
2022-05-28,1
2022-05-29,1
2022-06-03,2
2022-06-06,1
2022-06-19,1
2022-06-22,1
2022-06-23,2
2022-07-05,1
2022-07-07,1
2022-07-08,2
2022-07-15,2
2022-07-16,1
2022-07-17,1
2022-07-23,1
2022-07-28,1
2022-08-03,1
2022-08-09,1
2022-08-13,1
2022-08-15,1
2022-08-19,1
2022-08-23,1
2022-08-25,1
2022-08-27,1
2022-08-28,1
2022-08-29,1
2022-08-30,2
2022-08-31,1
2022-09-06,1
2022-09-08,1
2022-09-09,2
2022-09-15,2
2022-09-18,1
2022-09-24,2
2022-09-25,1
2022-09-26,1
2022-09-29,1
2022-09-30,1
2022-10-14,1
2022-10-15,1
2022-10-20,2
2022-10-25,1
2022-10-27,1
2022-11-01,1
2022-11-04,2
2022-11-05,1
2022-11-06,1
2022-11-08,1
2022-11-10,1
2022-12-01,1
2022-12-02,1
2022-12-03,1
2022-12-04,1
2022-12-09,1
2022-12-10,1
